text,label_original,aspect,sarcasm
"Over the years, we've seen a lot of preposterous things done by writers when the show just had to go on no matter what, keeping ""8 Simple Rules"" going after John Ritter died comes to mind, but this is probably the first time I cared. The idea of having ""That 70's Show"" without Eric or to a lesser extent Kelso is ridiculous. They tried to cover it up with a comeback of Leo and increasingly outrageous story lines, but it always felt like why bother when you don't have a main character anymore. It just didn't really connect, it was a bunch of unrelated stuff happening that most of the time wasn't even funny. The last season felt like the season too much for every single character, simply because Eric used to take a lot of screen time and now we'd be smashed in the face by how stale and repetitive the rest of the characters were. Focusing on the gimmick that is Fez was thoroughly uninteresting and the character would simply stop working, because the whole deal was that he'd say something weird from out of nowhere, and you can't say stuff from out of nowhere when every second line is yours. They also brought in the standard cousin Oliver, only this time it just wasn't a kid. Whenever you heard somebody knock on the door, you started praying it wasn't Randy, please let it not be Randy. The deal with Randy was that he'd do really awful jokes, usually as Red would say, smiling like an ass and totally screwing up delivery and Donna would be in stitches. I think more than half of the last season was Donna pretending to be amused. The problems had started earlier though: what once was a truly great show with an equally great concept that for once wasn't about a dysfunctional family slowly got into the territory of soap opera. Everybody started being in love with everybody, emotional scenes were dragged out at nausea, with just one usually lame joke placed somewhere to divert attention that we were watching ""As The World Turns"". I'm guessing this was character development, but come on that was written almost as clumsily as the moral lessons from ""Family Matters"". To be fair, the last episode, also because it had a cameo by Topher Grace (a cameo in his own show), was really good, even if not that funny either.<br /><br />By the way, yet more criticism on Season 8: what the hell was with the opening theme? Not only did they use the same joke twice (a character not singing), Fez scared the hell out of me. Dude, don't open your eyes that far. But the first five seasons or so,among the best comedy ever broadcast.",1,Plot/Story,Yes
"This is one of the better comedies that has ever been on television. Season one was hilarious as were most of the following seasons. The only reason that I give this show a 9/10 is because of the unfortunate final season. The only good part of the final season was the finale. My favorite part of this show was the scenes that cut to people's imaginations, often depicting the characters in famous TV shows or movies from the 70's. It is a rare show in that i liked every character (with the exception of the final season...too late to try to develop a new character and fez wasn't nearly as funny). Red's foot in your ass comments never got old, nor did Kelso's stupidity. Bravo to fox for keeping such a good show so long, too long even.",1,Plot/Story,No
"This movie is a waste of time and money. Throughout the entire hour and a half, I continued to wait for it to get better and it never did. It was slow moving, the plot jumped around, it wasn't scary or interesting, and really never amounted to anything. The credits during the introduction were long and drawn out, which was basically like the rest of the movie (long and drawn out). Numerous parts of the plot made no sense. Several times during the movie I had thought that maybe I had ""zoned out"" because the incongruity of the plot, however, my companion had the same issue and assured me I did not ""zone out"" from boredom, but it was indeed the movie. I've actually never posted on here about a movie before and have been actively looking up movies on IMDb for numerous years. So the fact that I'm actually taking the time to write something should speak volumes of how bad this movie is and that you should not waste your time or money on it.",0,Plot/Story,Yes
"This is 2009 and this way underrated gem has lost nothing of the power it had 31 years ago. It connects a pretty wide variety of different characters and stories without appearing to be cluttered.<br /><br />Clothes and music might have changed over time, but in the end this is a story that will never lose its up-to-dateness. And especially this movie does the job pretty well. Of course it is cheesy at times, but very touching as well.<br /><br />Jodie Foster's performance is striking, and it shows that she is really a natural born actress who showed her true potential especially in her earlier movies.<br /><br />Don't miss this one.",1,Acting,No
"This is the best of the 43 films that Rainer Werner Fassbinder made; his most successful at least. He was one of the leading directors in the New Germany after WWII.<br /><br />Hanna Schygulla was magnificent as the cold, calculating Maria Bruan, who lost her husband to the War, found him after she took an American soldier as a lover, lost him again after he went to jail for her, and found him agin at the end. Her day and a half marriage before he disappeared was longer than their time together at the end.<br /><br />Such is life. Things come and go, and you do the best you can. You can give up or adjust you way of thinking to survive. Even though Maria adjusted her thinking and did what she had to do, she never stopped loving Hermann, which makes the end such a tragedy.<br /><br />Excellent drama.",1,Plot/Story,No
"The name of Nick Stahl, the young cast and the attractive cover of the VHS made me buy and watch this flick, expecting to see a good teen slash movie. What a crap! The full of clichés screenplay, the dialogs and the performances are awful, dreadful, very bad, terrible, horrendous  summarizing, a complete waste of time. There is no horror, black humor, only an absolutely boring story, with shameful plot points. The film begins with six characters, indeed three couples, together like a group of friends, but indeed very nasty persons that seems to be enemies, playing a ridiculous senseless game called ""Taboo"", and with each one of them writing yes or no for certain taboo issues. That is it: no previous development of the characters, the viewer does not know who they are, their motives and relationship. Then, there is an ellipsis to one year later, and the same group is gathered together in a New Years Eve party, insulting each other in a very sordid way. But the plot and the twists are so ridiculous, predictable, mediocre and unbelievable that do not deserve any additional line in my review. One advice only: do not waste your time or money on this garbage, you will certainly regret. My vote is one (awful).<br /><br />Title (Brazil): ""Taboo  Jogando Com o Assassino"" (""Taboo  Playing With the Killer"")",0,Plot/Story,Yes
"I would have liked to write about the story, but there wasn't any. I would have liked to quote a couple of hard hitting dialogs from the movie but ""hinglish"" is only funny for like 5 minutes, after that its overkill. I would have liked to swoon over the 'keep-u-guessing suspense' but it was as predictable as... um mm, a Yash raj movie (?). I would have liked to talk of the edge-of-the-seat action, but I don't like cartoons much. <br /><br />*sigh*<br /><br />All in all, this movie is perfect for: 1. people attempting suicide - I promise it'll push you over the edge 2. Sado-masochists- this movie is way more effective than the barbed wire that Silas guy in the Da-Vinci code wore. 3. People researching alternative ways to spread terrorism - I swear the audience leaving the hall seemed to be in a mood to kill someone 4. Movie Piraters: More power to them. If any movies deserves to not have the audience spending money to watch - this is it. 5.Barnacles, most types of plankton & green algae - Because almost all other living things would require an IQ factor somewhat greater than what the movie offers. Afterthought: The director of the movie, obviously, is a species of his own. ( And i hope to god that he is the only one of his kind..one is enough)<br /><br />Things that could have made this a better movie: 1. A story 2. A choreographer 3. A Screenplay writer 4. A stunt coordinator 5. A story (Did I already say that?) 6. A director - preferably one who is not mentally challenged (although even one who was challenged could have done a better job) 7. Anil Kapoor=Bubonic plague - Avoid at all costs 8. A statutory warning - ""Watching Yash Raj movies is Injurious to your mental health"" ?<br /><br />Things I liked about the movie: 1. Kareena Kapoor - For obvious reasons 2. The English sub-titles - ""Mera Dil Kho Gaya"" becomes - ""My heart is in a void"" , ""Chaliya Chaliya Chaliya"" turns into ""Im a flirt, Im a lover, Im a vagabond"" ..priceless.<br /><br />In short, Tashan to me, is like the opposite of a Rubrics cube - The cube is supposed to increase the IQ of the player, Tashan promises to lower your IQ, and that.. in a mere 2.5 hours! Woot!<br /><br />*sigh*..But thats just me. I could be wrong You've been warned anyways.",0,Plot/Story,Yes
"It is very hard to rate this film. As entertainment value for 21st century viewers, it fails miserably. However, for the student of early sound films and history, it is a jewel. ""Show of Shows"" was a revue filmed to compete with MGM's successful ""Hollywood Revue of 1929"", which still survives intact complete with its Technicolor scenes.<br /><br />The purpose of the all-star revue was to showcase a particular studio's silent stars in speaking roles, and show that they could make the transition. However, Warner Bros. seems to have forgotten this and employs many acts and stars that they didn't even have under long-term contract such as Ben Turpin, Lloyd Hamilton, Beatrice Lillie, and even a marching band. Meanwhile, their biggest talent - Al Jolson - is noticeably absent. Even at a high salary he could not be compelled to join in. Almost every act is overly long and the film plays like a dozen or so Vitaphone shorts strung together with no continuity. The finale is also overly long, but it is really enjoyable with all of its dance numbers.<br /><br />The highlights of the film are two numbers from Winnie Lightner - ""Pingo Pongo"" and ""Singin in the Bathtub"", a couple of numbers with Nick Lucas, John Barrymore performing Shakespeare, and the Chinese Fantasy ""Li Po Li"" with Nick Lucas and Myrna Loy. This last number is the only part of the film that survives in Technicolor, and it really is quite attractive. Reasonably enough, the players in these good acts were long-term Warner Bros. stars so perhaps the director knew how to play to their strengths since he was familiar with them.<br /><br />This film acts as a snapshot at an odd point in film history - the year 1929, which was the bridge year between two eras - the silent and sound eras, and the roaring 20's and the Great Depression. Just two years later this same film would have had an entirely different cast, as Warner Bros. would abandon its silent era stars and the stars they hired just to produce the early musicals in favor of those stars that gave Warner Bros. its distinctive urban look and feel - James Cagney, Joan Blondell, Edward G. Robinson, and others.",1,Plot/Story,No
"SUcks. That's all I got to say about this sorry excuse for a film. Sucks. Sucks. Sucks. I mean, what the hell were they thinking? The idiots involved should never be allowed to make another films. The acting was so bad that it even failed to entertain on a bad level. The attempt at a ""lesbian scene"" was sad. I felt so bad for the ladies involved. This movie sucks! Sucks! Sucks!<br /><br />I heard rumors of a sequel.<br /><br />God<br /><br />Help<br /><br />Us<br /><br />All",0,Acting,Yes
"Back in the day, I remembered seeing dumb Nintendo Power comics that had the same artwork as this show... and then word came up that this show was a coming to a television near me! I was not estatic, but curious... I was curious about how bad this show was gonna suck. My friends all said that this show had no real meanings and was too silly for straight people like me to enjoy (i'm actually gay), so I decided to watch the show with low expectations.<br /><br />WHAT A HORRIBLE EXPERIENCE!!!!!!!!!!! First off, I hate the new characters. Tiff and Tuff are so dumb and I hate how so many fanboys drool over Tiff, it's sad. I also hate how they made Chef Kalasaki (or whatever his nonstraight name was) a good guy who owned a restaurant. Bad move, 4Kids TV! Escargoon is nothing but a loser adviser to the King Dedede (who sucks big time in this show) and I hate the face of that one company that keeps supplying Dedede with those awful weapons to destroy Kirby. So stupid, I hate this show.<br /><br />I then began to hate Kirby even more since it was obvious Nintendo was just aching to get Kirby some popularity. Kirby'll never beat Mario in the fight for coolness, and Kirby will always be nothing but a tiny little cream puff of gayness. NUF SAID!!!",0,Acting,Yes
